Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,0.524847233,0.620443103,0.720163097,0.691391373,0.757695903,0.814651891,0.544439618,0.831664421,0.832855653,0.879120942,0.943343227,0.969337836,0.987977455,1.280156225,1.329434161,1.368960718,1.330679891,1.361390293,1.280767201,1.379071656,1.332394776,1.266664978,1.6184407,1.588689037,1.615728022,1.607878965,1.578643552,1.315457933,1.34759437,1.387155767
Afghanistan,2.910441705,2.778889889,1.696297398,1.626566078,1.555482855,1.380337779,1.353127533,1.337145683,1.34763173,1.305541142,1.07964063,0.993244455,0.985183968,1.068472148,0.957256064,1.316140323,1.471212077,2.046648093,4.068388197,6.665939634,8.086217099,11.91889826,10.23806382,8.484182855,8.016290063,8.361848549,7.635914356,8.145254857,9.106997338,8.082723558
Angola,11.29819684,11.85103573,12.19636571,12.2136513,11.56831909,13.03968868,15.77312562,16.50057964,17.13805539,18.13438462,16.61483677,16.29451563,16.03663527,17.45020807,17.81594524,15.97626284,16.73487327,17.24714234,19.50103338,21.32235658,22.97375774,23.86463597,24.18684342,27.82232537,30.40784428,32.59413004,30.69166007,26.12988244,24.04861936,25.32599422
Anguilla,0.006114424,0.00757944,0.007902936,0.009952196,0.01313127,0.016395665,0.016213344,0.013563752,0.012448764,0.011750832,0.015531534,0.015910759,0.010858915,0.014107818,0.01347189,0.013661616,0.012812443,0.012354729,0.015268477,0.020160958,0.024004496,0.026008055,0.026023228,0.027940512,0.027896061,0.028005426,0.028339881,0.029062445,0.028222994,0.027579993
International Aviation,258.9937813,251.9009032,260.0678582,265.0220847,278.5835702,289.1034251,300.8476628,315.6077036,326.2430757,340.1420871,352.6288292,346.1280979,366.7032383,364.670144,393.9046399,418.8387904,434.1486542,448.0634932,455.8999822,434.2054923,458.2050418,472.1124083,472.7211187,480.9091262,496.6276965,524.6540345,548.2077774,582.2304897,609.6304686,617.7632293
Albania,6.653017711,4.437321935,2.41983035,2.274800626,2.387156417,2.111883785,2.101389009,1.628675271,1.955472993,3.129668266,3.273583452,3.482386303,4.041511253,4.245990448,4.450978888,4.213394304,4.17413324,4.283612251,4.239339948,4.3343489,4.616941479,5.014835957,4.574328127,4.811344923,5.13469704,4.916119404,4.619507538,5.346925226,5.314989374,5.038618199
Curaçao,2.669740744,2.769183631,2.887051446,2.370630743,2.669020721,2.675311348,2.703858225,5.306248248,5.479967561,5.448928342,5.670774765,5.708320443,5.462663348,5.478869426,5.72111972,6.032133779,5.938910251,6.451498312,6.385706041,5.986874406,4.435001736,5.683816159,5.130824005,4.685495472,5.258290891,5.311484306,4.549638271,3.619473578,2.87702226,2.210519648
United Arab Emirates,56.90141795,64.72988224,62.52928668,65.92917512,72.5900932,77.43145142,80.9257427,84.33997713,86.52315643,89.21417647,88.52142484,101.3374676,103.6134023,108.9177807,115.1268254,122.5766723,127.3311073,137.3051611,164.3997636,165.5112675,172.1227854,176.4191189,186.0552726,195.6090104,197.236888,207.7954258,212.5602708,208.6861086,187.9170284,199.2888538
Argentina,100.664657,106.0084044,108.350133,112.1354731,115.8775676,118.0037599,128.9153556,133.4032205,140.1071616,142.5339798,139.4295552,133.8159907,125.8876752,139.7653609,154.9127129,158.6853433,168.0729357,177.6406868,183.3161281,168.779385,180.945731,189.9853706,191.7743757,198.1513627,195.9526351,199.4173854,197.3833132,194.2575883,192.0351295,183.1722982
Armenia,20.70145224,21.5618514,11.00492397,5.180057133,2.883970355,3.618804068,2.675833968,3.432446478,3.563045191,3.199747008,3.663461023,3.730356885,3.198637944,3.572115114,3.837753247,4.546648011,4.585190121,5.300082323,5.802199258,4.663656638,4.470290281,5.098676744,5.87781248,5.565062423,5.556373289,5.414477256,5.159294243,5.453925082,5.771485729,6.258425349
