Country,1970_co2_total,1971_co2_total,1972_co2_total,1973_co2_total,1974_co2_total,1975_co2_total,1976_co2_total,1977_co2_total,1978_co2_total,1979_co2_total,1980_co2_total,1981_co2_total,1982_co2_total,1983_co2_total,1984_co2_total,1985_co2_total,1986_co2_total,1987_co2_total,1988_co2_total,1989_co2_total,1990_co2_total,1991_co2_total,1992_co2_total,1993_co2_total,1994_co2_total,1995_co2_total,1996_co2_total,1997_co2_total,1998_co2_total,1999_co2_total,2000_co2_total,2001_co2_total,2002_co2_total,2003_co2_total,2004_co2_total,2005_co2_total,2006_co2_total,2007_co2_total,2008_co2_total,2009_co2_total,2010_co2_total,2011_co2_total,2012_co2_total,2013_co2_total,2014_co2_total,2015_co2_total,2016_co2_total,2017_co2_total,2018_co2_total,2019_co2_total,2020_co2_total,2021_co2_total,1970_surface_temperature,1971_surface_temperature,1972_surface_temperature,1973_surface_temperature,1974_surface_temperature,1975_surface_temperature,1976_surface_temperature,1977_surface_temperature,1978_surface_temperature,1979_surface_temperature,1980_surface_temperature,1981_surface_temperature,1982_surface_temperature,1983_surface_temperature,1984_surface_temperature,1985_surface_temperature,1986_surface_temperature,1987_surface_temperature,1988_surface_temperature,1989_surface_temperature,1990_surface_temperature,1991_surface_temperature,1992_surface_temperature,1993_surface_temperature,1994_surface_temperature,1995_surface_temperature,1996_surface_temperature,1997_surface_temperature,1998_surface_temperature,1999_surface_temperature,2000_surface_temperature,2001_surface_temperature,2002_surface_temperature,2003_surface_temperature,2004_surface_temperature,2005_surface_temperature,2006_surface_temperature,2007_surface_temperature,2008_surface_temperature,2009_surface_temperature,2010_surface_temperature,2011_surface_temperature,2012_surface_temperature,2013_surface_temperature,2014_surface_temperature,2015_surface_temperature,2016_surface_temperature,2017_surface_temperature,2018_surface_temperature,2019_surface_temperature,2020_surface_temperature,2021_surface_temperature
Angola,8.952569897,8.538308076,10.38851943,11.3723013,11.83376052,10.93042348,7.317384633,12.05777408,14.23923396,14.20437267,14.34203203,13.25576752,12.79529903,13.25128225,13.38997,14.14074524,14.28949059,14.55459006,15.00527297,15.1682025,11.29819684,11.85103573,12.19636571,12.2136513,11.56831909,13.03968868,15.77312562,16.50057964,17.13805539,18.13438462,16.61483677,16.29451563,16.03663527,17.45020807,17.81594524,15.97626284,16.73487327,17.24714234,19.50103338,21.32235658,22.97375774,23.86463597,24.18684342,27.82232537,30.40784428,32.59413004,30.69166007,26.12988244,24.04861936,25.32599422,23.05584383,24.4500572,0.248,-0.097,-0.035,0.475,-0.158,-0.029,-0.313,0.272,0.037,0.291,0.279,-0.071,0.164,0.487,0.631,0.694,0.176,0.689,0.572,-0.055,0.687,0.341,0.466,0.256,0.212,0.753,0.37,0.107,1.064,0.417,0.169,0.295,0.735,0.889,0.414,1.021,0.561,0.885,0.501,0.708,1.194,0.88,0.552,1.044,0.828,1.331,1.609,0.87,1.395,1.752,1.162,1.553
Anguilla,0.002168292,0.002168325,0.002263753,0.002108963,0.002350261,0.00258403,0.002434477,0.002537065,0.002901614,0.003213011,0.004412635,0.006639773,0.007018853,0.006088891,0.005801136,0.003670826,0.003154646,0.006125876,0.005797213,0.006148498,0.006114424,0.00757944,0.007902936,0.009952196,0.01313127,0.016395665,0.016213344,0.013563752,0.012448764,0.011750832,0.015531534,0.015910759,0.010858915,0.014107818,0.01347189,0.013661616,0.012812443,0.012354729,0.015268477,0.020160958,0.024004496,0.026008055,0.026023228,0.027940512,0.027896061,0.028005426,0.028339881,0.029062445,0.028222994,0.027579993,0.022779488,0.02540872,0.082,-0.269,-0.179,0.17,-0.37,-0.334,-0.426,0.096,0.13,0.034,0.698,0.532,0.097,0.524,0.105,0.006,0.013,0.569,0.457,-0.002,0.432,0.441,0.365,0.535,0.575,0.651,0.35,0.459,1.06,0.532,0.264,0.587,0.706,0.816,0.521,0.828,0.691,0.957,0.411,0.566,1.09,0.489,0.64,0.77,0.814,1.051,1.125,0.96,0.664,0.843,1.224,0.893
Albania,4.814515897,4.814828456,5.498804171,4.939869167,5.319745594,5.414438039,5.785732926,6.197669557,6.820000839,7.92553165,8.064026493,7.067243178,7.270542817,7.78695563,8.423368342,8.067779922,8.146748228,8.292821418,8.196745287,7.895754379,6.653017711,4.437321935,2.41983035,2.274800626,2.387156417,2.111883785,2.101389009,1.628675271,1.955472993,3.129668266,3.273583452,3.482386303,4.041511253,4.245990448,4.450978888,4.213394304,4.17413324,4.283612251,4.239339948,4.3343489,4.616941479,5.014835957,4.574328127,4.811344923,5.13469704,4.916119404,4.619507538,5.346925226,5.314989374,5.038618199,4.706920416,4.591114338,-0.106,-0.195,-0.069,-0.288,-0.139,-0.211,-0.683,0.545,-0.814,0.203,-0.414,-0.351,0.173,-0.128,-0.27,-0.103,0.569,-0.106,0.37,-0.066,0.795,-0.269,0.106,0.076,1.33,-0.172,-0.038,0.075,0.795,0.67,1.065,1.532,0.492,0.97,0.444,0.189,0.345,1.316,0.978,0.91,1.191,1.055,1.487,1.333,1.198,1.569,1.464,1.121,2.028,1.675,1.498,1.536
United Arab Emirates,19.43756412,25.40410771,27.71876051,35.80620549,35.97103927,36.64226214,45.53870802,45.83584736,52.58015412,37.85409575,41.12068213,38.04754102,38.06950287,36.80370341,49.99747044,51.83295449,50.25312075,52.0889074,51.00924841,56.95163379,56.90141795,64.72988224,62.52928668,65.92917512,72.5900932,77.43145142,80.9257427,84.33997713,86.52315643,89.21417647,88.52142484,101.3374676,103.6134023,108.9177807,115.1268254,122.5766723,127.3311073,137.3051611,164.3997636,165.5112675,172.1227854,176.4191189,186.0552726,195.6090104,197.236888,207.7954258,212.5602708,208.6861086,187.9170284,199.2888538,189.3380243,193.5069399,0.422,-0.151,-0.801,-0.329,-0.46,-0.332,-0.562,0.391,0.037,0.445,0.372,0.225,-0.325,-0.697,-0.187,0.138,0.191,0.162,0.191,-0.31,0.241,-0.282,-0.667,-0.038,0.381,-0.198,0.306,-0.342,0.968,1.293,0.681,0.56,1.123,1.052,1.052,0.725,1.255,0.802,0.777,0.896,1.482,1.121,1.086,0.739,0.909,1.556,1.059,1.632,1.498,1.204,1.21,1.699
Argentina,88.32100897,88.76510026,90.71640836,93.69846153,93.98721087,91.41146426,96.02960968,100.0675996,99.33634045,104.9420628,102.450479,99.22779404,98.41560186,101.7460357,101.3134928,94.54639568,101.925374,107.6048782,111.4372962,107.9846552,100.664657,106.0084044,108.350133,112.1354731,115.8775676,118.0037599,128.9153556,133.4032205,140.1071616,142.5339798,139.4295552,133.8159907,125.8876752,139.7653609,154.9127129,158.6853433,168.0729357,177.6406868,183.3161281,168.779385,180.945731,189.9853706,191.7743757,198.1513627,195.9526351,199.4173854,197.3833132,194.2575883,192.0351295,183.1722982,171.8632498,189.0020275,0.438,-0.26,-0.008,-0.139,-0.106,-0.021,-0.321,0.432,0.362,0.266,0.373,0.378,0.359,0.046,-0.1,0.308,0.46,0.446,-0.192,0.611,0.436,0.261,-0.261,0.086,0.487,0.259,0.512,0.759,0.351,0.16,-0.186,0.425,0.278,0.635,0.47,0.281,0.596,-0.169,0.601,0.857,0.135,0.386,0.798,0.442,0.951,0.957,0.488,1.095,0.878,0.76,1.123,1.031
Antigua and Barbuda,0.316036371,0.316030779,0.37320712,0.38638008,0.343393854,0.411990776,0.37572799,0.414239141,0.420674449,0.396653901,0.403077363,0.358571131,0.447681865,0.280534974,0.363130264,0.357557861,0.357289935,0.461705067,0.467010461,0.42411373,0.427828875,0.451115538,0.476049285,0.444118568,0.466630722,0.477254008,0.480896495,0.468798816,0.474452414,0.501565911,0.493125116,0.490776872,0.53398847,0.708744155,0.725194488,0.712301553,0.724092975,0.746970929,0.751509653,0.839256197,0.85668395,0.983628572,1.061682648,1.065287135,1.099736268,1.082621551,1.095830344,0.78111159,0.85347407,0.846615982,0.698760042,0.777871204,0.109,-0.233,-0.214,0.164,-0.377,-0.419,-0.467,0.076,0.161,0.16,0.646,0.564,0.162,0.489,0.009,-0.051,-0.023,0.649,0.395,-0.077,0.417,0.459,0.445,0.528,0.493,0.677,0.377,0.455,1.046,0.541,0.335,0.425,0.634,0.783,0.501,0.843,0.659,0.934,0.394,0.498,1.153,0.586,0.696,0.783,0.744,1.035,1.097,0.958,0.627,0.797,1.131,0.862
Australia,161.5280735,162.9093285,168.8281221,178.4870103,187.5895334,194.3838922,197.1820378,210.4697245,206.7956635,212.601641,222.7862521,223.7943411,230.0867684,218.515841,224.3238921,238.7320052,239.1853188,250.345917,259.1590319,274.8780087,278.2097544,280.211696,283.5754627,287.6761549,293.1280559,303.2230212,313.7587027,322.8086503,343.7464815,349.0379821,354.7808209,361.3756008,369.7400469,368.8086595,382.5369383,386.3866618,392.5050529,403.0534949,406.8317264,412.7310405,408.2267759,405.9318448,405.8275688,398.6016325,389.9473696,396.0989414,404.7575978,409.0937159,406.7872374,406.7599379,376.7787393,367.9069573,-0.007,-0.044,0.091,0.831,-0.354,0.048,-0.522,0.176,0.062,0.375,0.887,0.495,0.186,0.633,-0.157,0.349,0.388,0.363,0.96,0.153,0.549,0.82,0.281,0.484,0.221,0.413,0.604,0.383,1.092,0.58,0.148,0.336,0.736,0.835,0.723,1.211,0.721,0.929,0.625,1.03,0.673,0.208,0.308,1.499,1.198,1.087,1.172,1.141,1.129,1.422,1.416,0.629
Austria,54.05594301,56.29790289,58.61497167,61.90010059,59.49709352,57.18148182,62.36991155,59.69382266,61.76543554,64.22287977,62.31368865,59.02827727,56.89114084,56.90416837,58.7396228,60.13667213,58.92627859,59.56394985,58.14891474,58.16136518,62.71929223,66.55401846,61.40987885,61.50474992,62.07126248,65.16800387,69.04249193,68.69753193,69.246487,67.32813193,67.98286379,72.72212768,74.32236523,79.43293561,80.61867207,81.1785544,79.1283122,76.22213754,75.77143834,68.85942831,74.75630797,73.0735165,70.0606163,70.63075376,67.00345774,68.33121942,68.84449691,71.10618942,68.07014085,69.9559579,63.32086409,66.00769434,-0.55,-0.06,0.103,-0.033,0.314,0.86,0.216,0.499,-0.476,-0.112,-0.274,0.277,0.384,1.062,-0.249,-0.568,0.319,-0.263,0.82,1.104,1.262,0.125,1.248,0.527,1.958,0.939,-0.203,0.514,1.343,0.986,1.769,1.501,1.531,1.464,0.829,0.628,0.907,2.137,1.582,1.544,0.656,1.373,1.783,1.098,2.409,2.167,2.096,1.741,2.524,2.37,2.315,1.395
Benin,0.320469071,0.370979203,0.471118467,0.486097819,0.498988051,0.558826182,0.37647642,0.437957053,0.465414528,0.521007047,0.547172073,0.457847965,0.529966676,0.523483504,0.537753082,0.632337123,0.568948807,0.518612119,0.470919443,0.417301304,0.415194866,0.367581502,0.399250353,0.404701271,0.411650431,0.420266618,1.098236029,1.390303568,1.340208036,1.473423084,1.571846186,1.884436459,2.174582688,2.43269967,2.59198042,2.838678669,3.897231957,4.42917627,4.397885465,4.716208619,5.107886337,4.986622735,4.750553258,4.995977761,5.484359271,5.831491688,7.125436575,7.263857589,8.269118725,8.117105317,8.026780152,8.629283856,0.305,-0.183,0.08,0.627,0.089,-0.274,-0.194,0.357,-0.045,0.499,0.425,0.161,0.211,0.548,0.542,0.411,0.307,0.977,0.631,-0.052,0.58,0.302,-0.027,0.531,0.439,0.406,0.736,0.557,1.042,0.621,0.449,0.517,0.721,0.936,0.706,1.105,1.035,0.806,0.632,0.95,1.23,0.949,0.595,0.853,0.94,1.111,1.025,1.16,1.056,1.147,1.031,1.522
Burkina Faso,0.289249761,0.289826582,0.287406123,0.296401437,0.31797364,0.335058033,0.322868532,0.329827523,0.330138358,0.366610625,0.385872405,0.360321718,0.344728178,0.352178366,0.344999158,0.338668233,0.424196508,0.545161288,0.534731544,0.453924419,0.412691379,0.55036736,0.489700892,0.513619245,0.56060402,0.576366838,0.629539145,1.020311567,0.962273432,0.99187033,1.014601303,1.144786943,1.187908292,1.312909649,1.188855462,1.26693342,1.26721285,1.783415454,2.057195444,1.978411266,2.122459194,2.228668853,2.569166206,3.001788263,2.70397822,3.812530064,3.733700924,4.405564478,4.801420482,5.002361763,4.949869705,5.289855324,0.359,-0.019,0.135,0.671,-0.056,-0.311,-0.316,0.267,0.212,0.434,0.805,0.282,0.18,0.724,0.799,0.472,0.356,1.011,0.593,0.009,0.603,0.527,0.004,0.725,0.311,0.401,0.917,0.621,1.006,0.548,0.537,0.502,1.015,0.986,0.867,1.449,1.162,0.867,0.297,0.942,1.25,1.001,0.492,0.849,0.888,1.111,1.075,1.212,1.156,1.065,1.044,1.624
